building,season,gameType,games,games_with_attendance,coverage_pct,mean_attendance
Arizona Veterans Memorial Coliseum,1980,Playoffs,4,4,100.0,12321.5
Boston Garden,1980,Playoffs,5,5,100.0,15320.0
Capital Centre,1980,Playoffs,1,1,100.0,18397.0
HemisFair Arena,1980,Playoffs,1,1,100.0,12894.0
Kemper Arena,1980,Playoffs,1,1,100.0,9637.0
Kingdome,1980,Playoffs,8,7,87.5,20057.4
Memorial Coliseum,1980,Playoffs,1,1,100.0,12666.0
The Forum,1980,Playoffs,9,8,88.9,16901.0
The Omni,1980,Playoffs,2,2,100.0,15617.0
The Spectrum,1980,Playoffs,9,8,88.9,16598.0
The Summit,1980,Playoffs,4,4,100.0,14369.8
Arizona Veterans Memorial Coliseum,1980,Regular Season,42,38,90.5,11733.5
Boston Garden,1980,Regular Season,41,30,73.2,14466.8
Capital Centre,1980,Regular Season,41,29,70.7,11911.7
Chicago Stadium,1980,Regular Season,41,34,82.9,8773.0
HemisFair Arena,1980,Regular Season,41,33,80.5,11104.2
Kemper Arena,1980,Regular Season,41,30,73.2,9212.7
Kingdome,1980,Regular Season,41,37,90.2,21668.8
MECCA Arena,1980,Regular Season,40,31,77.5,10890.1
Madison Square Garden,1980,Regular Season,41,35,85.4,12918.8
Market Square Arena,1980,Regular Season,41,38,92.7,10592.7
McNichols Sports Arena,1980,Regular Season,41,34,82.9,12644.3
Memorial Coliseum,1980,Regular Season,41,31,75.6,12666.0
Oracle Arena,1980,Regular Season,41,33,80.5,8631.7
Pontiac Silverdome,1980,Regular Season,41,37,90.2,7465.7
Richfield Coliseum,1980,Regular Season,41,34,82.9,8231.6
Rutgers Athletic Center,1980,Regular Season,41,34,82.9,6432.4
Salt Palace,1980,Regular Season,41,37,90.2,7804.9
San Diego Sports Arena,1980,Regular Season,41,32,78.0,9138.1
The Forum,1980,Regular Season,41,33,80.5,14287.8
The Omni,1980,Regular Season,41,35,85.4,10743.9
The Spectrum,1980,Regular Season,41,38,92.7,11932.4
The Summit,1980,Regular Season,41,36,87.8,10239.5
Arizona Veterans Memorial Coliseum,1981,Playoffs,4,3,75.0,12660.0
Boston Garden,1981,Playoffs,9,9,100.0,15320.0
Chicago Stadium,1981,Playoffs,3,3,100.0,19381.7
HemisFair Arena,1981,Playoffs,4,3,75.0,13853.7
Kemper Arena,1981,Playoffs,7,6,85.7,13824.5
Madison Square Garden,1981,Playoffs,1,1,100.0,14822.0
Market Square Arena,1981,Playoffs,1,1,100.0,8921.0
Memorial Coliseum,1981,Playoffs,2,2,100.0,12666.0
The Spectrum,1981,Playoffs,8,6,75.0,13937.7
Arizona Veterans Memorial Coliseum,1981,Regular Season,41,38,92.7,11742.7
Boston Garden,1981,Regular Season,41,33,80.5,14402.2
Capital Centre,1981,Regular Season,41,31,75.6,8440.4
Chicago Stadium,1981,Regular Season,41,36,87.8,9346.2
HemisFair Arena,1981,Regular Season,41,39,95.1,10695.3
Kemper Arena,1981,Regular Season,41,34,82.9,8039.5
Kingdome,1981,Regular Season,41,34,82.9,16550.3
MECCA Arena,1981,Regular Season,41,32,78.0,10905.3
Madison Square Garden,1981,Regular Season,41,37,90.2,13055.8
Market Square Arena,1981,Regular Season,41,35,85.4,10029.6
McNichols Sports Arena,1981,Regular Season,41,32,78.0,10602.6
Memorial Coliseum,1981,Regular Season,41,36,87.8,12666.0
Oracle Arena,1981,Regular Season,41,35,85.4,10123.2
Pontiac Silverdome,1981,Regular Season,41,34,82.9,5678.9
Reunion Arena,1981,Regular Season,41,29,70.7,7182.5
Richfield Coliseum,1981,Regular Season,41,29,70.7,5620.8
Rutgers Athletic Center,1981,Regular Season,41,38,92.7,7391.2
Salt Palace,1981,Regular Season,41,34,82.9,7628.6
San Diego Sports Arena,1981,Regular Season,41,33,80.5,6277.2
The Forum,1981,Regular Season,41,33,80.5,13387.9
The Omni,1981,Regular Season,41,37,90.2,8923.6
The Spectrum,1981,Regular Season,41,35,85.4,11273.0
The Summit,1981,Regular Season,41,38,92.7,9508.5
Arizona Veterans Memorial Coliseum,1982,Playoffs,3,3,100.0,13136.0
Boston Garden,1982,Playoffs,7,6,85.7,15320.0
HemisFair Arena,1982,Playoffs,4,3,75.0,14940.3
Izod Center,1982,Playoffs,1,1,100.0,14015.0
Kingdome,1982,Playoffs,5,4,80.0,16444.8
MECCA Arena,1982,Playoffs,3,3,100.0,11052.0
The Omni,1982,Playoffs,1,1,100.0,8703.0
The Spectrum,1982,Playoffs,10,9,90.0,16060.0
The Summit,1982,Playoffs,1,1,100.0,15676.0
Arizona Veterans Memorial Coliseum,1982,Regular Season,41,34,82.9,11831.1
Boston Garden,1982,Regular Season,41,32,78.0,15151.0
Capital Centre,1982,Regular Season,41,30,73.2,9567.5
Chicago Stadium,1982,Regular Season,41,33,80.5,8361.6
HemisFair Arena,1982,Regular Season,41,37,90.2,10656.4
Izod Center,1982,Regular Season,41,30,73.2,13437.0
Kemper Arena,1982,Regular Season,41,32,78.0,7598.8
Kingdome,1982,Regular Season,41,37,90.2,17331.0
MECCA Arena,1982,Regular Season,41,34,82.9,10857.4
Madison Square Garden,1982,Regular Season,41,35,85.4,11171.9
Market Square Arena,1982,Regular Season,41,31,75.6,7540.3
McNichols Sports Arena,1982,Regular Season,41,33,80.5,11692.6
Memorial Coliseum,1982,Regular Season,41,37,90.2,12665.9
Oracle Arena,1982,Regular Season,41,36,87.8,9701.7
Pontiac Silverdome,1982,Regular Season,41,35,85.4,9860.5
Reunion Arena,1982,Regular Season,41,34,82.9,9574.1
Richfield Coliseum,1982,Regular Season,41,35,85.4,5671.6
Salt Palace,1982,Regular Season,41,33,80.5,7687.8
San Diego Sports Arena,1982,Regular Season,41,33,80.5,5676.0
The Forum,1982,Regular Season,41,32,78.0,14424.4
The Omni,1982,Regular Season,41,35,85.4,7465.4
The Spectrum,1982,Regular Season,41,36,87.8,12158.5
The Summit,1982,Regular Season,41,38,92.7,11714.0
Arizona Veterans Memorial Coliseum,1983,Playoffs,2,2,100.0,13280.5
HemisFair Arena,1983,Playoffs,6,6,100.0,13484.3
Izod Center,1983,Playoffs,1,1,100.0,15672.0
MECCA Arena,1983,Playoffs,4,3,75.0,11052.0
Madison Square Garden,1983,Playoffs,3,3,100.0,17594.3
McNichols Sports Arena,1983,Playoffs,3,3,100.0,15968.0
Memorial Coliseum,1983,Playoffs,3,3,100.0,12665.3
The Forum,1983,Playoffs,8,8,100.0,16494.1
The Omni,1983,Playoffs,1,1,100.0,10405.0
The Spectrum,1983,Playoffs,7,6,85.7,17355.5
Arizona Veterans Memorial Coliseum,1983,Regular Season,41,34,82.9,11319.9
Boston Garden,1983,Regular Season,41,35,85.4,15140.3
Capital Centre,1983,Regular Season,41,34,82.9,8835.5
Chicago Stadium,1983,Regular Season,41,33,80.5,7548.8
HemisFair Arena,1983,Regular Season,41,31,75.6,9517.6
Izod Center,1983,Regular Season,41,36,87.8,13049.6
Kemper Arena,1983,Regular Season,41,33,80.5,8098.3
Kingdome,1983,Regular Season,41,30,73.2,14284.5
MECCA Arena,1983,Regular Season,41,35,85.4,10398.9
Madison Square Garden,1983,Regular Season,41,35,85.4,10642.1
Market Square Arena,1983,Regular Season,41,31,75.6,4686.4
McNichols Sports Arena,1983,Regular Season,41,35,85.4,12497.3
Memorial Coliseum,1983,Regular Season,41,35,85.4,12380.4
Oracle Arena,1983,Regular Season,41,35,85.4,8385.6
Pontiac Silverdome,1983,Regular Season,41,34,82.9,12604.1
Reunion Arena,1983,Regular Season,41,35,85.4,11651.3
Richfield Coliseum,1983,Regular Season,41,38,92.7,3988.4
Salt Palace,1983,Regular Season,41,30,73.2,8758.0
San Diego Sports Arena,1983,Regular Season,41,39,95.1,4803.8
The Forum,1983,Regular Season,41,35,85.4,15720.1
The Omni,1983,Regular Season,41,34,82.9,7141.8
The Spectrum,1983,Regular Season,41,31,75.6,15923.7
The Summit,1983,Regular Season,41,34,82.9,7407.1
Arizona Veterans Memorial Coliseum,1984,Playoffs,8,7,87.5,14227.3
Boston Garden,1984,Playoffs,13,13,100.0,14890.0
Capital Centre,1984,Playoffs,2,2,100.0,11106.0
Izod Center,1984,Playoffs,5,5,100.0,15664.4
Kemper Arena,1984,Playoffs,1,1,100.0,7261.0
Kingdome,1984,Playoffs,2,2,100.0,11061.0
MECCA Arena,1984,Playoffs,8,8,100.0,10933.9
Madison Square Garden,1984,Playoffs,5,5,100.0,17916.2
Memorial Coliseum,1984,Playoffs,3,3,100.0,12666.0
Reunion Arena,1984,Playoffs,5,4,80.0,15007.0
The Forum,1984,Playoffs,11,9,81.8,15514.8
The Omni,1984,Playoffs,2,2,100.0,5915.0
The Spectrum,1984,Playoffs,3,3,100.0,14819.0
Arizona Veterans Memorial Coliseum,1984,Regular Season,41,35,85.4,10825.4
Boston Garden,1984,Regular Season,41,35,85.4,14829.5
Capital Centre,1984,Regular Season,41,31,75.6,7679.0
Chicago Stadium,1984,Regular Season,41,37,90.2,6452.7
HemisFair Arena,1984,Regular Season,41,36,87.8,9248.0
Izod Center,1984,Regular Season,41,37,90.2,12252.2
Kemper Arena,1984,Regular Season,41,37,90.2,9132.2
Kingdome,1984,Regular Season,41,36,87.8,10692.0
MECCA Arena,1984,Regular Season,41,36,87.8,10036.1
Madison Square Garden,1984,Regular Season,41,38,92.7,12108.3
Market Square Arena,1984,Regular Season,41,32,78.0,10427.9
McNichols Sports Arena,1984,Regular Season,41,37,90.2,11181.8
Memorial Coliseum,1984,Regular Season,41,37,90.2,12638.6
Oracle Arena,1984,Regular Season,41,36,87.8,7755.7
Pontiac Silverdome,1984,Regular Season,41,34,82.9,15912.6
Reunion Arena,1984,Regular Season,41,36,87.8,14164.9
Richfield Coliseum,1984,Regular Season,41,34,82.9,5188.7
Salt Palace,1984,Regular Season,41,33,80.5,9624.8
San Diego Sports Arena,1984,Regular Season,41,34,82.9,5268.6
The Forum,1984,Regular Season,41,37,90.2,15120.9
The Omni,1984,Regular Season,41,34,82.9,7481.8
The Spectrum,1984,Regular Season,41,37,90.2,14513.4
The Summit,1984,Regular Season,41,34,82.9,10326.8
Arizona Veterans Memorial Coliseum,1985,Regular Season,41,35,85.4,11953.7
Boston Garden,1985,Regular Season,41,35,85.4,14883.1
Capital Centre,1985,Regular Season,41,37,90.2,9145.8
Chicago Stadium,1985,Regular Season,41,37,90.2,11738.6
HemisFair Arena,1985,Regular Season,41,36,87.8,8841.3
Izod Center,1985,Regular Season,41,37,90.2,12334.5
Kemper Arena,1985,Regular Season,41,34,82.9,6176.6
Kingdome,1985,Regular Season,41,38,92.7,7501.2
LA Memorial Sports Arena,1985,Regular Season,41,34,82.9,9330.1
MECCA Arena,1985,Regular Season,41,38,92.7,10313.9
Madison Square Garden,1985,Regular Season,41,37,90.2,11136.9
Market Square Arena,1985,Regular Season,41,38,92.7,10674.2
McNichols Sports Arena,1985,Regular Season,41,36,87.8,10850.9
Memorial Coliseum,1985,Regular Season,41,37,90.2,12666.2
Oracle Arena,1985,Regular Season,41,35,85.4,7392.4
Pontiac Silverdome,1985,Regular Season,41,34,82.9,15825.3
Reunion Arena,1985,Regular Season,41,37,90.2,16672.4
Richfield Coliseum,1985,Regular Season,41,39,95.1,8042.5
Salt Palace,1985,Regular Season,41,33,80.5,9322.8
The Forum,1985,Regular Season,41,37,90.2,14894.6
The Omni,1985,Regular Season,41,31,75.6,7788.1
The Spectrum,1985,Regular Season,41,38,92.7,13858.9
The Summit,1985,Regular Season,41,34,82.9,13735.4
ARCO Arena I,1986,Playoffs,1,1,100.0,10333.0
Boston Garden,1986,Playoffs,10,8,80.0,14890.0
Capital Centre,1986,Playoffs,2,2,100.0,14862.5
Chicago Stadium,1986,Playoffs,1,1,100.0,18968.0
HemisFair Arena,1986,Playoffs,1,1,100.0,7918.0
Izod Center,1986,Playoffs,1,1,100.0,7784.0
MECCA Arena,1986,Playoffs,8,8,100.0,11053.2
McNichols Sports Arena,1986,Playoffs,5,5,100.0,14625.8
Memorial Coliseum,1986,Playoffs,2,2,100.0,12666.0
Reunion Arena,1986,Playoffs,5,5,100.0,17007.0
Salt Palace,1986,Playoffs,2,2,100.0,12159.0
The Forum,1986,Playoffs,8,7,87.5,17519.3
The Omni,1986,Playoffs,4,3,75.0,12417.3
The Spectrum,1986,Playoffs,6,5,83.3,14429.8
The Summit,1986,Playoffs,10,10,100.0,15867.7
ARCO Arena I,1986,Regular Season,41,39,95.1,10333.0
Arizona Veterans Memorial Coliseum,1986,Regular Season,41,36,87.8,11209.6
Boston Garden,1986,Regular Season,41,32,78.0,14892.8
Capital Centre,1986,Regular Season,41,36,87.8,9462.9
Chicago Stadium,1986,Regular Season,41,35,85.4,11405.4
HemisFair Arena,1986,Regular Season,41,33,80.5,8100.1
Izod Center,1986,Regular Season,41,35,85.4,11681.0
KeyArena,1986,Regular Season,41,39,95.1,8045.1
LA Memorial Sports Arena,1986,Regular Season,41,35,85.4,8334.3
MECCA Arena,1986,Regular Season,41,36,87.8,10816.8
Madison Square Garden,1986,Regular Season,41,41,100.0,14451.0
Market Square Arena,1986,Regular Season,41,38,92.7,11157.1
McNichols Sports Arena,1986,Regular Season,41,36,87.8,12910.3
Memorial Coliseum,1986,Regular Season,41,39,95.1,12666.1
Oracle Arena,1986,Regular Season,41,37,90.2,9698.4
Pontiac Silverdome,1986,Regular Season,41,34,82.9,17609.4
Reunion Arena,1986,Regular Season,41,36,87.8,16907.0
Richfield Coliseum,1986,Regular Season,41,34,82.9,9918.4
Salt Palace,1986,Regular Season,41,33,80.5,11626.4
The Forum,1986,Regular Season,41,36,87.8,16908.6
The Omni,1986,Regular Season,41,38,92.7,9242.0
The Spectrum,1986,Regular Season,41,38,92.7,12636.9
The Summit,1986,Regular Season,41,36,87.8,14676.2
Boston Garden,1987,Playoffs,13,10,76.9,14890.0
Capital Centre,1987,Playoffs,1,1,100.0,10831.0
Chicago Stadium,1987,Playoffs,1,1,100.0,18122.0
KeyArena,1987,Playoffs,7,6,85.7,13530.2
MECCA Arena,1987,Playoffs,6,5,83.3,11052.0
Market Square Arena,1987,Playoffs,2,2,100.0,13171.0
McNichols Sports Arena,1987,Playoffs,1,1,100.0,15137.0
Memorial Coliseum,1987,Playoffs,2,2,100.0,12555.0
Oracle Arena,1987,Playoffs,4,4,100.0,15025.0
Pontiac Silverdome,1987,Playoffs,7,5,71.4,21252.0
Reunion Arena,1987,Playoffs,2,2,100.0,17007.0
Salt Palace,1987,Playoffs,3,3,100.0,11780.7
The Forum,1987,Playoffs,10,8,80.0,17505.1
The Spectrum,1987,Playoffs,2,2,100.0,14912.5
ARCO Arena I,1987,Regular Season,41,35,85.4,10333.0
Arizona Veterans Memorial Coliseum,1987,Regular Season,41,35,85.4,11498.4
Boston Garden,1987,Regular Season,41,37,90.2,14909.5
Capital Centre,1987,Regular Season,41,34,82.9,12034.6
Chicago Stadium,1987,Regular Season,41,34,82.9,16037.1
HemisFair Arena,1987,Regular Season,41,34,82.9,7804.3
Izod Center,1987,Regular Season,41,36,87.8,10816.1
KeyArena,1987,Regular Season,41,36,87.8,8805.0
LA Memorial Sports Arena,1987,Regular Season,41,38,92.7,7823.2
MECCA Arena,1987,Regular Season,41,34,82.9,11000.1
Madison Square Garden,1987,Regular Season,41,36,87.8,13120.9
Market Square Arena,1987,Regular Season,41,39,95.1,12602.6
McNichols Sports Arena,1987,Regular Season,41,38,92.7,11888.7
Memorial Coliseum,1987,Regular Season,41,35,85.4,12666.1
Oracle Arena,1987,Regular Season,41,32,78.0,10278.6
Pontiac Silverdome,1987,Regular Season,41,33,80.5,20856.7
Reunion Arena,1987,Regular Season,41,35,85.4,16979.8
Richfield Coliseum,1987,Regular Season,41,40,97.6,10977.3
Salt Palace,1987,Regular Season,41,36,87.8,12033.3
The Forum,1987,Regular Season,41,36,87.8,16803.4
The Omni,1987,Regular Season,41,33,80.5,13034.7
The Spectrum,1987,Regular Season,41,34,82.9,14273.1
The Summit,1987,Regular Season,41,34,82.9,15919.8
Boston Garden,1988,Playoffs,9,9,100.0,14890.0
Capital Centre,1988,Playoffs,2,2,100.0,10093.0
Chicago Stadium,1988,Playoffs,5,5,100.0,18336.2
HemisFair Arena,1988,Playoffs,1,1,100.0,11542.0
KeyArena,1988,Playoffs,2,2,100.0,14250.0
MECCA Arena,1988,Playoffs,2,2,100.0,11052.0
Madison Square Garden,1988,Playoffs,2,2,100.0,19591.0
Memorial Coliseum,1988,Playoffs,2,2,100.0,12666.0
Pontiac Silverdome,1988,Playoffs,12,9,75.0,26964.9
Reunion Arena,1988,Playoffs,8,8,100.0,17007.0
Richfield Coliseum,1988,Playoffs,2,2,100.0,20047.0
Salt Palace,1988,Playoffs,5,4,80.0,12444.0
The Forum,1988,Playoffs,14,12,85.7,17504.7
