arenaName,personId,playerName,games,mean_delta
American Airlines Center,1642950,Lachlan Olbrich,1,967.3
American Airlines Center,1631338,Mouhamadou Gueye,1,967.3
American Airlines Center,1642530,Yuki Kawamura,1,967.3
American Airlines Center,1631159,Leonard Miller,1,967.3
American Airlines Center,1630172,Patrick Williams,1,967.3
American Airlines Center,1642265,Rob Dillingham,1,967.3
American Airlines Center,1630200,Tre Jones,1,967.3
American Airlines Center,202687,Bismack Biyombo,1,854.5
American Airlines Center,1628436,Luke Kornet,1,854.5
American Airlines Center,1642357,David Jones Garcia,1,854.5
American Airlines Center,1631127,Harrison Ingram,1,854.5
American Airlines Center,1630545,Terrence Shannon Jr.,1,751.0
American Airlines Center,1630245,Ayo Dosunmu,1,751.0
American Airlines Center,1629029,Luka Doncic,1,606.5
American Airlines Center,203935,Marcus Smart,1,606.5
American Airlines Center,1631166,Drew Timme,1,606.5
American Airlines Center,1629060,Rui Hachimura,2,580.3
American Airlines Center,1629028,Deandre Ayton,2,580.3
American Airlines Center,2544,LeBron James,2,580.3
American Airlines Center,1629020,Jarred Vanderbilt,2,580.3
American Airlines Center,1631222,Jake LaRavia,2,580.3
American Airlines Center,1629637,Jaxson Hayes,2,580.3
American Airlines Center,1629216,Gabe Vincent,2,569.1
American Airlines Center,202331,Paul George,1,557.3
American Airlines Center,1630178,Tyrese Maxey,1,557.3
American Airlines Center,1629656,Quentin Grimes,1,557.3
American Airlines Center,1631133,Jabari Walker,1,557.3
American Airlines Center,1631230,Dominick Barlow,1,557.3
American Airlines Center,203083,Andre Drummond,1,557.3
American Airlines Center,1641737,Adem Bona,1,557.3
American Airlines Center,1642845,VJ Edgecombe,1,557.3
American Airlines Center,203954,Joel Embiid,1,557.3
American Airlines Center,1641733,Nick Smith Jr.,1,554.2
American Airlines Center,1642355,Bronny James,1,554.2
American Airlines Center,1628467,Maxi Kleber,1,554.2
American Airlines Center,1641723,Kobe Bufkin,1,554.2
American Airlines Center,1628379,Luke Kennard,1,554.2
American Airlines Center,1642434,Riley Minix,2,541.9
American Airlines Center,1630552,Jalen Johnson,1,531.7
American Airlines Center,1630700,Dyson Daniels,1,531.7
American Airlines Center,1630168,Onyeka Okongwu,1,531.7
American Airlines Center,1630811,Keaton Wallace,1,531.7
American Airlines Center,1642258,Zaccharie Risacher,1,531.7
American Airlines Center,1629638,Nickeil Alexander-Walker,1,531.7
American Airlines Center,1631216,Caleb Houstan,1,531.7
American Airlines Center,1641705,Victor Wembanyama,2,491.2
American Airlines Center,203084,Harrison Barnes,2,491.2
American Airlines Center,1629640,Keldon Johnson,2,491.2
American Airlines Center,1642844,Dylan Harper,2,491.2
American Airlines Center,1629162,Jordan McLaughlin,2,491.2
American Airlines Center,1642868,Carter Bryant,2,491.2
American Airlines Center,1642264,Stephon Castle,2,491.2
American Airlines Center,1630577,Julian Champagnie,2,491.2
American Airlines Center,1630170,Devin Vassell,2,491.2
