personId,playerName,arenaName,gameType,games,wins,losses,win_pct,total_points,ppg,career_high
1630639,A.J. Lawson,Capital One Arena,Regular Season,1,0,1,0.0,2,2.0,2
1630639,A.J. Lawson,Chase Center,Regular Season,1,1,0,1.0,6,6.0,6
1630639,A.J. Lawson,Crypto.com Arena,Regular Season,1,0,1,0.0,5,5.0,5
1630639,A.J. Lawson,FedExForum,Regular Season,1,1,0,1.0,8,8.0,8
1630639,A.J. Lawson,Gainbridge Fieldhouse,Regular Season,1,1,0,1.0,5,5.0,5
1630639,A.J. Lawson,Golden 1 Center,Regular Season,1,1,0,1.0,0,0.0,0
1630639,A.J. Lawson,Little Caesars Arena,Regular Season,1,0,1,0.0,13,13.0,13
1630639,A.J. Lawson,Madison Square Garden,Regular Season,1,0,1,0.0,5,5.0,5
1630639,A.J. Lawson,Rocket Arena,Playoffs,4,0,4,0.0,6,1.5,2
1630639,A.J. Lawson,Scotiabank Arena,Playoffs,3,3,0,1.0,6,2.0,6
1630639,A.J. Lawson,Scotiabank Arena,Regular Season,14,8,6,0.571,54,3.9,14
1630639,A.J. Lawson,TD Garden,Regular Season,2,0,2,0.0,3,1.5,3
1631260,AJ Green,American Airlines Center,Regular Season,1,1,0,1.0,13,13.0,13
1631260,AJ Green,Ball Arena,Regular Season,1,0,1,0.0,14,14.0,14
1631260,AJ Green,Barclays Center,Regular Season,1,0,1,0.0,20,20.0,20
1631260,AJ Green,Capital One Arena,Regular Season,2,0,2,0.0,15,7.5,13
1631260,AJ Green,Chase Center,Regular Season,1,0,1,0.0,11,11.0,11
1631260,AJ Green,Crypto.com Arena,Regular Season,1,1,0,1.0,11,11.0,11
1631260,AJ Green,Delta Center,Regular Season,1,0,1,0.0,0,0.0,0
1631260,AJ Green,FedExForum,Regular Season,1,0,1,0.0,20,20.0,20
1631260,AJ Green,Fiserv Forum,Regular Season,39,18,21,0.462,416,10.7,35
1631260,AJ Green,Frost Bank Center,Regular Season,1,0,1,0.0,6,6.0,6
1631260,AJ Green,Gainbridge Fieldhouse,Regular Season,2,2,0,1.0,17,8.5,13
1631260,AJ Green,Golden 1 Center,Regular Season,1,1,0,1.0,1,1.0,1
1631260,AJ Green,Intuit Dome,Regular Season,1,0,1,0.0,15,15.0,15
1631260,AJ Green,Kaseya Center,Regular Season,2,0,2,0.0,15,7.5,12
1631260,AJ Green,Kia Center,Regular Season,2,1,1,0.5,21,10.5,15
1631260,AJ Green,Little Caesars Arena,Regular Season,1,0,1,0.0,13,13.0,13
1631260,AJ Green,Madison Square Garden,Regular Season,1,0,1,0.0,18,18.0,18
1631260,AJ Green,Moda Center,Regular Season,1,0,1,0.0,5,5.0,5
1631260,AJ Green,Mortgage Matchup Center,Regular Season,1,1,0,1.0,8,8.0,8
1631260,AJ Green,Paycom Center,Regular Season,1,1,0,1.0,17,17.0,17
1631260,AJ Green,Rocket Arena,Regular Season,2,0,2,0.0,32,16.0,20
1631260,AJ Green,Scotiabank Arena,Regular Season,2,1,1,0.5,18,9.0,9
1631260,AJ Green,Smoothie King Center,Regular Season,1,1,0,1.0,0,0.0,0
1631260,AJ Green,Spectrum Center,Regular Season,2,1,1,0.5,8,4.0,5
1631260,AJ Green,State Farm Arena,Regular Season,2,1,1,0.5,27,13.5,18
1631260,AJ Green,TD Garden,Regular Season,1,0,1,0.0,3,3.0,3
1631260,AJ Green,Target Center,Regular Season,1,0,1,0.0,4,4.0,4
1631260,AJ Green,Toyota Center,Regular Season,1,0,1,0.0,15,15.0,15
1631260,AJ Green,United Center,Regular Season,2,1,1,0.5,19,9.5,13
1631260,AJ Green,Xfinity Mobile Arena,Regular Season,2,0,2,0.0,27,13.5,19
1642358,AJ Johnson,American Airlines Center,Regular Season,8,1,7,0.125,56,7.0,20
1642358,AJ Johnson,Barclays Center,Regular Season,1,1,0,1.0,0,0.0,0
1642358,AJ Johnson,Capital One Arena,Regular Season,13,4,9,0.308,51,3.9,17
1642358,AJ Johnson,Crypto.com Arena,Regular Season,1,0,1,0.0,0,0.0,0
1642358,AJ Johnson,FedExForum,Regular Season,1,1,0,1.0,0,0.0,0
1642358,AJ Johnson,Fiserv Forum,Regular Season,3,1,2,0.333,16,5.3,8
1642358,AJ Johnson,Frost Bank Center,Regular Season,3,0,3,0.0,13,4.3,13
1642358,AJ Johnson,Gainbridge Fieldhouse,Regular Season,1,0,1,0.0,0,0.0,0
1642358,AJ Johnson,Golden 1 Center,Regular Season,1,0,1,0.0,4,4.0,4
1642358,AJ Johnson,Intuit Dome,Regular Season,2,0,2,0.0,1,0.5,1
1642358,AJ Johnson,Madison Square Garden,Regular Season,1,0,1,0.0,0,0.0,0
1642358,AJ Johnson,Moda Center,Regular Season,1,1,0,1.0,0,0.0,0
1642358,AJ Johnson,Mortgage Matchup Center,Regular Season,3,0,3,0.0,4,1.3,4
1642358,AJ Johnson,Paycom Center,Regular Season,1,0,1,0.0,0,0.0,0
1642358,AJ Johnson,Scotiabank Arena,Regular Season,1,0,1,0.0,0,0.0,0
1642358,AJ Johnson,Smoothie King Center,Regular Season,1,0,1,0.0,4,4.0,4
1642358,AJ Johnson,Spectrum Center,Regular Season,2,0,2,0.0,2,1.0,2
1642358,AJ Johnson,TD Garden,Regular Season,2,0,2,0.0,1,0.5,1
1642358,AJ Johnson,Target Center,Regular Season,1,0,1,0.0,2,2.0,2
1642358,AJ Johnson,Xfinity Mobile Arena,Regular Season,1,0,1,0.0,6,6.0,6
203932,Aaron Gordon,American Airlines Center,Regular Season,1,1,0,1.0,22,22.0,22
203932,Aaron Gordon,Ball Arena,Playoffs,2,1,1,0.5,25,12.5,17
203932,Aaron Gordon,Ball Arena,Regular Season,19,15,4,0.789,279,14.7,24
203932,Aaron Gordon,Barclays Center,Regular Season,1,0,1,0.0,20,20.0,20
203932,Aaron Gordon,Capital One Arena,Regular Season,1,1,0,1.0,16,16.0,16
203932,Aaron Gordon,Chase Center,Regular Season,1,0,1,0.0,50,50.0,50
203932,Aaron Gordon,Crypto.com Arena,Regular Season,1,0,1,0.0,27,27.0,27
203932,Aaron Gordon,Delta Center,Regular Season,1,1,0,1.0,6,6.0,6
203932,Aaron Gordon,Fiserv Forum,Regular Season,1,1,0,1.0,13,13.0,13
203932,Aaron Gordon,Golden 1 Center,Regular Season,1,1,0,1.0,17,17.0,17
203932,Aaron Gordon,Intuit Dome,Regular Season,1,1,0,1.0,18,18.0,18
203932,Aaron Gordon,Moda Center,Regular Season,1,0,1,0.0,14,14.0,14
203932,Aaron Gordon,Mortgage Matchup Center,Regular Season,1,1,0,1.0,16,16.0,16
203932,Aaron Gordon,Paycom Center,Regular Season,1,0,1,0.0,23,23.0,23
203932,Aaron Gordon,Smoothie King Center,Regular Season,1,1,0,1.0,16,16.0,16
203932,Aaron Gordon,TD Garden,Regular Season,1,1,0,1.0,12,12.0,12
203932,Aaron Gordon,Target Center,Playoffs,1,0,1,0.0,9,9.0,9
203932,Aaron Gordon,Target Center,Regular Season,2,2,0,1.0,32,16.0,23
203932,Aaron Gordon,Toyota Center,Regular Season,1,1,0,1.0,1,1.0,1
1628988,Aaron Holiday,American Airlines Center,Regular Season,2,0,2,0.0,19,9.5,19
1628988,Aaron Holiday,Ball Arena,Regular Season,3,1,2,0.333,5,1.7,3
1628988,Aaron Holiday,Barclays Center,Regular Season,1,1,0,1.0,3,3.0,3
1628988,Aaron Holiday,Capital One Arena,Regular Season,1,1,0,1.0,2,2.0,2
1628988,Aaron Holiday,Chase Center,Regular Season,2,2,0,1.0,20,10.0,14
1628988,Aaron Holiday,Crypto.com Arena,Playoffs,3,1,2,0.333,5,1.7,5
1628988,Aaron Holiday,Crypto.com Arena,Regular Season,1,1,0,1.0,0,0.0,0
1628988,Aaron Holiday,Delta Center,Regular Season,2,1,1,0.5,21,10.5,11
1628988,Aaron Holiday,FedExForum,Regular Season,2,2,0,1.0,6,3.0,6
1628988,Aaron Holiday,Frost Bank Center,Regular Season,1,0,1,0.0,5,5.0,5
1628988,Aaron Holiday,Gainbridge Fieldhouse,Regular Season,1,1,0,1.0,8,8.0,8
1628988,Aaron Holiday,Golden 1 Center,Regular Season,1,0,1,0.0,3,3.0,3
1628988,Aaron Holiday,Intuit Dome,Regular Season,1,0,1,0.0,3,3.0,3
1628988,Aaron Holiday,Kaseya Center,Regular Season,1,0,1,0.0,5,5.0,5
1628988,Aaron Holiday,Moda Center,Regular Season,1,0,1,0.0,0,0.0,0
1628988,Aaron Holiday,Mortgage Matchup Center,Regular Season,2,2,0,1.0,34,17.0,22
