personId,playerName,building,city,buildingType,gameType,games,wins,losses,win_pct,total_points,ppg,career_high,first_season,last_season
920,A.C. Green,ARCO Arena I,Sacramento,home,Regular Season,8,7,1,0.875,78,9.8,17,1986,1988
920,A.C. Green,Alamodome,San Antonio,home,Playoffs,2,0,2,0.0,15,7.5,8,1996,1996
920,A.C. Green,Alamodome,San Antonio,home,Regular Season,15,1,14,0.067,116,7.7,23,1994,2001
920,A.C. Green,Amway Arena,Orlando,home,Regular Season,12,8,4,0.667,99,8.2,19,1990,2001
920,A.C. Green,Arizona Veterans Memorial Coliseum,Phoenix,home,Playoffs,4,2,2,0.5,42,10.5,14,1989,1990
920,A.C. Green,Arizona Veterans Memorial Coliseum,Phoenix,home,Regular Season,19,9,10,0.474,194,10.2,25,1986,1992
920,A.C. Green,Ball Arena,Denver,home,Regular Season,3,2,1,0.667,6,2.0,4,2000,2001
920,A.C. Green,Boston Garden,Boston,home,Playoffs,3,1,2,0.333,19,6.3,10,1987,1987
920,A.C. Green,Boston Garden,Boston,home,Regular Season,10,6,4,0.6,121,12.1,25,1986,1995
920,A.C. Green,Bradley Center,Milwaukee,home,Regular Season,12,4,8,0.333,132,11.0,24,1989,2001
920,A.C. Green,Capital Centre,Landover,home,Regular Season,12,8,4,0.667,142,11.8,22,1986,1997
920,A.C. Green,Capital One Arena,Washington,home,Regular Season,4,3,1,0.75,42,10.5,25,1998,2001
920,A.C. Green,Charlotte Coliseum,Charlotte,home,Playoffs,1,0,1,0.0,1,1.0,1,2001,2001
920,A.C. Green,Charlotte Coliseum,Charlotte,home,Regular Season,14,7,7,0.5,111,7.9,20,1989,2001
920,A.C. Green,Chicago Stadium,Chicago,home,Playoffs,2,1,1,0.5,9,4.5,6,1991,1991
920,A.C. Green,Chicago Stadium,Chicago,home,Regular Season,9,4,5,0.444,71,7.9,15,1986,1994
920,A.C. Green,Crypto.com Arena,Los Angeles,home,Playoffs,13,11,2,0.846,57,4.4,10,2000,2000
920,A.C. Green,Crypto.com Arena,Los Angeles,home,Regular Season,45,40,5,0.889,226,5.0,11,2000,2001
920,A.C. Green,Delta Center,Salt Lake City,home,Regular Season,20,6,14,0.3,133,6.7,20,1992,2001
920,A.C. Green,Gainbridge Fieldhouse,Indianapolis,home,Playoffs,3,1,2,0.333,16,5.3,7,2000,2000
920,A.C. Green,Gainbridge Fieldhouse,Indianapolis,home,Regular Season,2,0,2,0.0,6,3.0,4,2000,2001
920,A.C. Green,Georgia Dome,Atlanta,home,Regular Season,1,0,1,0.0,2,2.0,2,1998,1998
920,A.C. Green,HemisFair Arena,San Antonio,home,Playoffs,2,2,0,1.0,14,7.0,8,1986,1988
920,A.C. Green,HemisFair Arena,San Antonio,home,Regular Season,18,11,7,0.611,168,9.3,23,1986,1993
920,A.C. Green,Hubert H. Humphrey Metrodome,Minneapolis,home,Regular Season,2,2,0,1.0,21,10.5,16,1990,1990
920,A.C. Green,Izod Center,East Rutherford,home,Regular Season,16,10,6,0.625,130,8.1,17,1986,2001
920,A.C. Green,Kaseya Center,Miami,home,Playoffs,2,0,2,0.0,2,1.0,2,2001,2001
920,A.C. Green,Kaseya Center,Miami,home,Regular Season,42,30,12,0.714,193,4.6,16,2000,2001
920,A.C. Green,KeyArena,Seattle,home,Playoffs,4,4,0,1.0,47,11.8,19,1987,1989
920,A.C. Green,KeyArena,Seattle,home,Regular Season,35,11,24,0.314,372,10.6,33,1986,2001
920,A.C. Green,LA Memorial Sports Arena,Los Angeles,home,Regular Season,34,19,15,0.559,352,10.4,22,1986,1999
920,A.C. Green,MECCA Arena,Milwaukee,home,Regular Season,3,1,2,0.333,19,6.3,14,1986,1988
920,A.C. Green,Madison Square Garden,New York,home,Regular Season,17,10,7,0.588,142,8.4,22,1986,2001
920,A.C. Green,Market Square Arena,Indianapolis,home,Regular Season,13,8,5,0.615,115,8.8,24,1986,1998
920,A.C. Green,McNichols Sports Arena,Denver,home,Playoffs,1,1,0,1.0,18,18.0,18,1987,1987
920,A.C. Green,McNichols Sports Arena,Denver,home,Regular Season,29,15,14,0.517,360,12.4,26,1986,1999
920,A.C. Green,Memorial Coliseum,Portland,home,Playoffs,7,3,4,0.429,60,8.6,19,1989,1995
