personId,playerName,building,city,buildingType,gameType,season,games,wins,losses,win_pct,total_points,ppg,career_high
1630639,A.J. Lawson,American Airlines Center,Dallas,home,Regular Season,2025,1,0,1,0.0,12,12.0,12
1630639,A.J. Lawson,Barclays Center,Brooklyn,home,Regular Season,2025,2,2,0,1.0,15,7.5,13
1630639,A.J. Lawson,Capital One Arena,Washington,home,Regular Season,2025,1,1,0,1.0,8,8.0,8
1630639,A.J. Lawson,Capital One Arena,Washington,home,Regular Season,2026,1,0,1,0.0,2,2.0,2
1630639,A.J. Lawson,Chase Center,San Francisco,home,Regular Season,2025,1,0,1,0.0,0,0.0,0
1630639,A.J. Lawson,Chase Center,San Francisco,home,Regular Season,2026,1,1,0,1.0,6,6.0,6
1630639,A.J. Lawson,Crypto.com Arena,Los Angeles,home,Regular Season,2026,1,0,1,0.0,5,5.0,5
1630639,A.J. Lawson,Delta Center,Salt Lake City,home,Regular Season,2025,1,1,0,1.0,18,18.0,18
1630639,A.J. Lawson,FedExForum,Memphis,home,Regular Season,2026,1,1,0,1.0,8,8.0,8
1630639,A.J. Lawson,Frost Bank Center,San Antonio,home,Regular Season,2025,1,0,1,0.0,14,14.0,14
1630639,A.J. Lawson,Gainbridge Fieldhouse,Indianapolis,home,Regular Season,2026,1,1,0,1.0,5,5.0,5
1630639,A.J. Lawson,Golden 1 Center,Sacramento,home,Regular Season,2026,1,1,0,1.0,0,0.0,0
1630639,A.J. Lawson,Kia Center,Orlando,home,Regular Season,2025,2,2,0,1.0,13,6.5,13
1630639,A.J. Lawson,Little Caesars Arena,Detroit,home,Regular Season,2026,1,0,1,0.0,13,13.0,13
1630639,A.J. Lawson,Madison Square Garden,New York,home,Regular Season,2026,1,0,1,0.0,5,5.0,5
1630639,A.J. Lawson,Moda Center,Portland,home,Regular Season,2025,1,0,1,0.0,9,9.0,9
1630639,A.J. Lawson,Mortgage Matchup Center,Phoenix,home,Regular Season,2025,1,0,1,0.0,12,12.0,12
1630639,A.J. Lawson,Rocket Arena,Cleveland,home,Playoffs,2026,4,0,4,0.0,6,1.5,2
1630639,A.J. Lawson,Scotiabank Arena,Toronto,home,Playoffs,2026,3,3,0,1.0,6,2.0,6
1630639,A.J. Lawson,Scotiabank Arena,Toronto,home,Regular Season,2025,8,5,3,0.625,111,13.9,32
1630639,A.J. Lawson,Scotiabank Arena,Toronto,home,Regular Season,2026,14,8,6,0.571,54,3.9,14
1630639,A.J. Lawson,TD Garden,Boston,home,Regular Season,2026,2,0,2,0.0,3,1.5,3
1630639,A.J. Lawson,United Center,Chicago,home,Regular Season,2025,1,0,1,0.0,13,13.0,13
