personId,playerName,games,mean_delta,median_delta,total_delta
1630621,Hunter Dickinson,3,1219.5,1140.8,3658.4
1630846,Olivier Sarr,2,1196.0,1196.0,2392.0
1631457,Alex Morales,2,1090.6,1090.6,2181.3
1630658,Colin Castleton,2,1090.6,1090.6,2181.3
1642951,Sean Pedulla,2,1038.8,1038.8,2077.6
1631338,Mouhamadou Gueye,1,967.3,967.3,967.3
1629646,Charles Bassey,5,962.4,754.8,4811.8
1631117,Walker Kessler,2,867.2,867.2,1734.4
1641794,Dillon Jones,3,842.0,767.9,2526.0
1631166,Drew Timme,12,794.0,459.5,9528.2
1643024,Chris Manon,3,792.5,643.2,2377.6
1642434,Riley Minix,5,695.2,854.5,3475.8
1629029,Luka Doncic,32,650.8,511.2,20826.4
201939,Stephen Curry,20,648.7,482.4,12973.7
1642402,Enrique Freeman,1,648.7,648.7,648.7
1641723,Kobe Bufkin,4,600.2,277.1,2401.0
1631211,Trevor Keels,3,594.8,317.0,1784.4
203935,Marcus Smart,36,571.6,137.8,20576.4
1642490,Josh Oduro,2,570.4,570.4,1140.8
1642261,Dalton Knecht,28,562.2,161.7,15742.2
1628467,Maxi Kleber,23,553.8,10.8,12737.2
1629020,Jarred Vanderbilt,37,547.1,312.6,20241.4
2544,LeBron James,35,534.2,124.0,18695.9
1642400,Tristan Enaruna,5,526.7,312.6,2633.3
201143,Al Horford,22,522.9,335.6,11504.7
1642884,Vladislav Goldin,5,513.3,317.0,2566.3
1628964,Mo Bamba,2,497.9,497.9,995.7
1631222,Jake LaRavia,46,497.2,232.1,22870.9
1642873,Amari Williams,10,495.4,355.1,4954.5
1641790,PJ Hall,7,492.9,344.7,3450.6
1629028,Deandre Ayton,42,477.7,137.8,20062.9
1629060,Rui Hachimura,36,457.9,67.4,16485.9
1629637,Jaxson Hayes,43,448.6,151.7,19289.7
202710,Jimmy Butler III,17,446.7,394.1,7593.8
1641998,Trey Jemison III,7,440.6,579.3,3083.9
1641809,Drew Peterson,4,428.1,290.2,1712.3
1629216,Gabe Vincent,29,405.8,10.8,11768.3
1631218,Trayce Jackson-Davis,29,404.3,146.5,11724.4
1642355,Bronny James,22,399.5,0.0,8788.7
1628369,Jayson Tatum,10,398.6,93.6,3985.7
1642449,Tolu Smith,8,391.4,249.1,3131.2
1642404,Chaz Lanier,18,389.3,174.8,7008.3
1631127,Harrison Ingram,3,389.0,312.6,1167.1
203110,Draymond Green,33,375.8,146.5,12400.9
1630828,Alex Antetokounmpo,3,373.2,354.9,1119.7
1630541,Moses Moody,29,370.2,312.6,10735.3
1630559,Austin Reaves,26,361.8,62.0,9405.5
1642954,Will Richard,34,354.0,229.9,12036.2
1630286,Trevon Scott,2,345.6,345.6,691.3
1641764,Brandin Podziemski,41,341.6,146.5,14006.8
1627741,Buddy Hield,29,339.1,147.3,9833.4
1642366,Quinten Post,35,338.7,146.5,11854.9
