season,personId,playerName,games,mean_delta,median_delta,total_delta
2007,101117,Yaroslav Korolev,1,1975.6,1975.6,1975.6
2007,988,Randy Livingston,2,1964.1,1964.1,3928.2
2007,1508,Maurice Taylor,4,1811.3,1706.2,7245.3
2007,1742,Shammond Williams,14,1567.7,1581.8,21948.2
2007,1956,Ira Newble,6,1546.0,1532.9,9275.8
2007,15,Eric Piatkowski,2,1529.3,1529.3,3058.6
2007,243,Aaron McKie,6,1524.3,1061.6,9146.1
2007,133,David Wesley,15,1457.2,1327.4,21858.0
2007,2748,Dorell Wright,32,1405.7,962.5,44983.4
2007,1885,Lamar Odom,21,1359.0,1476.7,28540.0
2007,1800,Damon Jones,30,1336.9,937.6,40108.5
2007,2198,Kwame Brown,17,1315.4,799.2,22361.6
2007,200770,Jordan Farmar,31,1301.8,1463.3,40357.2
2007,2756,Sasha Vujacic,35,1292.3,1408.9,45231.9
2007,2470,Smush Parker,37,1289.4,1408.9,47706.8
2007,101115,Andrew Bynum,37,1289.4,1408.9,47706.8
2007,977,Kobe Bryant,34,1282.4,1131.3,43602.0
2007,2230,Maurice Evans,35,1272.7,965.4,44543.3
2007,1715,Jason Williams,32,1259.1,962.5,40292.0
2007,2469,Pat Burke,6,1256.8,1059.5,7541.0
2007,101134,Wayne Simien,5,1249.6,1446.6,6248.2
2007,952,Antoine Walker,38,1231.2,962.5,46784.6
2007,2209,Vladimir Radmanovic,26,1228.5,882.3,31940.6
2007,406,Shaquille O'Neal,20,1226.0,1136.6,24520.4
2007,2617,Udonis Haslem,40,1212.1,842.7,48483.1
2007,2567,Brian Cook,30,1204.8,882.3,36145.5
2007,1720,Michael Doleac,30,1201.0,842.7,36031.4
2007,1899,James Posey,34,1200.7,962.5,40824.9
2007,101142,Ronny Turiaf,31,1190.2,1408.9,36894.9
2007,200769,Shannon Brown,7,1185.8,110.6,8300.9
2007,2548,Dwyane Wade,27,1154.6,725.8,31174.6
2007,200809,Chris Quinn,20,1146.0,723.2,22919.9
2007,200789,Daniel Gibson,37,1129.1,740.2,41774.9
2007,297,Alonzo Mourning,38,1126.0,723.2,42786.2
2007,727,Eric Snow,44,1115.1,737.6,49062.6
2007,2575,Luke Walton,23,1100.7,799.2,25316.2
2007,980,Zydrunas Ilgauskas,43,1092.4,735.0,46975.2
2007,56,Gary Payton,34,1078.8,840.1,36680.6
2007,923,Donyell Marshall,44,1074.2,650.6,47264.8
2007,2400,Drew Gooden,46,1067.8,650.6,49117.9
2007,2760,Anderson Varejao,46,1067.8,650.6,49117.9
2007,2574,Jason Kapono,35,1052.0,720.6,36818.3
2007,2853,Earl Barron,15,1040.8,720.6,15611.3
2007,2204,Eddie Griffin,4,990.7,210.7,3962.8
2007,2544,LeBron James,45,984.0,566.1,44278.5
2007,1513,Scot Pollard,11,938.3,566.1,10321.2
2007,1716,Larry Hughes,40,927.6,412.5,37103.0
2007,2562,Sasha Pavlovic,37,911.2,432.4,33713.9
2007,1752,Sean Marks,1,909.2,909.2,909.2
2007,200754,Mouhamed Sene,9,863.4,188.1,7770.4
2007,2592,James Jones,38,847.2,337.6,32195.4
2007,2824,Desmon Farmer,4,830.0,163.6,3319.9
2007,224,Eddie Jones,28,829.6,411.6,23227.9
2007,959,Steve Nash,38,816.5,207.8,31028.4
2007,1952,Raja Bell,40,808.3,249.5,32330.3
2007,2405,Amar'e Stoudemire,40,808.3,249.5,32330.3
2007,1890,Shawn Marion,39,800.1,216.4,31203.0
2007,2571,Leandro Barbosa,39,798.0,216.4,31120.4
2007,1719,Bonzi Wells,12,764.3,492.6,9171.6
2007,2857,Andre Barrett,3,724.0,305.9,2172.1
2007,1883,Steve Francis,17,717.2,282.5,12191.6
2007,101143,Travis Diener,6,686.0,879.5,4115.8
2007,200823,Robert Hite,5,681.7,305.9,3408.5
2007,703,Kurt Thomas,32,675.5,163.8,21616.8
2007,1908,Jumaine Jones,7,672.1,909.2,4704.9
2007,2564,Boris Diaw,36,647.7,188.5,23318.5
2007,2403,Nene Hilario,33,624.5,282.5,20609.9
2007,200776,Mardy Collins,19,615.9,182.9,11701.4
2007,2552,Michael Sweetney,25,548.4,291.5,13711.1
2007,436,Juwan Howard,38,538.0,166.8,20442.7
2007,2556,Marcus Banks,17,529.9,392.7,9008.6
2007,947,Allen Iverson,32,529.1,210.7,16930.0
2007,1559,Adrian Griffin,24,522.6,133.1,12542.2
2007,101236,Chuck Hayes,39,521.4,149.7,20332.9
2007,101249,John Lucas III,20,516.4,134.4,10327.8
2007,2441,Jamal Sampson,7,505.9,1451.8,3541.5
2007,101161,Amir Johnson,6,491.0,344.6,2946.0
2007,101152,Bracey Wright,6,489.7,0.0,2938.3
2007,2501,Reggie Evans,30,488.4,337.6,14653.4
2007,101129,Luther Head,39,480.1,119.2,18725.6
2007,1744,Jerome James,20,479.4,59.0,9588.8
2007,2124,Malik Allen,32,477.0,144.3,15265.6
2007,1747,Rafer Alston,40,475.2,134.4,19008.0
2007,2203,Shane Battier,40,475.2,134.4,19008.0
2007,101132,Linas Kleiza,36,473.3,144.3,17039.5
2007,2768,Chris Duhon,42,470.7,144.3,19770.9
2007,1112,Ben Wallace,42,470.2,216.1,19747.1
2007,2059,Eduardo Najera,35,461.6,106.2,16155.6
2007,1503,Tracy McGrady,34,460.3,40.9,15650.7
2007,200748,Tyrus Thomas,38,459.4,82.6,17458.1
2007,101112,Channing Frye,32,446.5,166.3,14286.4
2007,2747,JR Smith,33,446.1,149.7,14721.0
2007,101195,Luke Schenscher,6,442.1,408.9,2652.9
2007,2732,Ben Gordon,44,441.2,144.3,19413.8
2007,2550,Kirk Hinrich,44,441.2,144.3,19413.8
2007,2736,Luol Deng,44,441.2,144.3,19413.8
2007,101131,Jason Maxiell,34,434.9,106.1,14786.5
2007,87,Dikembe Mutombo,36,432.3,108.1,15562.0
2007,2035,DerMarr Johnson,18,430.9,74.8,7755.9
2007,2407,Jared Jeffries,25,424.8,119.5,10620.9
2007,136,P.J. Brown,40,416.2,144.3,16647.0
2007,2804,Andres Nocioni,30,411.9,287.0,12355.6
2007,2201,Eddy Curry,34,408.1,134.6,13876.3
2007,2397,Yao Ming,27,404.5,81.8,10921.6
2007,185,Chris Webber,35,392.4,73.3,13733.8
2007,2779,Vassilis Spanoulis,13,391.6,96.9,5091.0
2007,283,Lindsey Hunter,24,380.5,114.6,9132.9
2007,147,Jalen Rose,9,373.5,392.7,3361.6
2007,1888,Richard Hamilton,39,370.8,73.3,14460.8
2007,101212,Esteban Batista,8,368.6,144.3,2949.1
2007,200821,Yakhouba Diawara,26,368.0,87.4,9567.7
2007,2745,Kirk Snyder,18,366.3,48.5,6592.8
2007,2546,Carmelo Anthony,34,363.5,61.9,12357.4
2007,101126,Nate Robinson,26,355.1,134.6,9233.5
2007,1497,Chauncey Billups,37,353.4,69.8,13076.2
2007,2436,Flip Murray,36,353.3,106.1,12719.1
2007,2581,Steve Blake,43,342.1,139.0,14708.9
2007,990,Malik Rose,27,336.4,52.1,9082.7
2007,2734,Devin Harris,37,333.3,282.5,12333.3
2007,2419,Tayshaun Prince,43,332.4,73.3,14291.2
2007,2568,Carlos Delfino,43,332.4,73.3,14291.2
2007,686,Antonio McDyess,43,332.4,73.3,14291.2
2007,1761,Greg Buckner,35,331.0,282.5,11583.4
2007,201043,Randolph Morris,2,330.9,330.9,661.8
2007,739,Rasheed Wallace,39,315.2,73.3,12293.1
2007,673,Alan Henderson,22,308.6,144.3,6788.2
2007,956,Erick Dampier,34,306.6,282.5,10424.6
2007,948,Marcus Camby,34,296.7,61.9,10086.8
2007,200779,Steve Novak,12,293.5,166.8,3521.7
2007,1509,Kelvin Cato,6,290.8,-27.4,1744.9
2007,101120,Antoine Wright,25,272.0,215.4,6800.2
2007,1717,Dirk Nowitzki,34,270.4,240.2,9192.6
2007,1891,Jason Terry,38,261.3,240.2,9928.9
2007,711,Jerry Stackhouse,34,258.8,175.5,8799.9
2007,200764,Renaldo Balkman,25,257.1,0.0,6428.2
2007,200750,Brandon Roy,25,248.1,269.9,6201.8
2007,101139,CJ Miles,19,239.1,61.0,4543.4
2007,2205,DeSagana Diop,37,228.7,197.9,8461.4
2007,2572,Josh Howard,33,226.4,282.5,7470.4
2007,200826,J.J. Barea,15,221.6,282.5,3324.5
2007,950,Stephon Marbury,29,219.2,0.0,6355.4
2007,200757,Thabo Sefolosha,38,217.9,20.5,8281.2
2007,2047,Quentin Richardson,21,201.4,-19.9,4230.0
2007,905,Dale Davis,23,199.1,30.9,4578.9
2007,1904,Devean George,32,199.0,175.5,6368.9
2007,200761,Shawne Williams,18,191.4,152.9,3445.5
2007,200801,Hassan Adams,16,182.7,139.0,2923.3
2007,1766,Maceo Baston,20,180.5,210.7,3610.4
2007,1729,Ricky Davis,35,176.4,305.9,6175.3
2007,2751,Viktor Khryapa,16,173.8,74.8,2780.7
2007,200751,Randy Foye,36,171.5,294.2,6175.3
2007,1548,Mark Blount,36,171.5,294.2,6175.3
2007,200783,Craig Smith,36,171.5,294.2,6175.3
2007,2229,Mike James,36,171.5,294.2,6175.3
2007,1506,Austin Croshere,25,163.3,153.0,4083.5
2007,978,Peja Stojakovic,7,161.6,0.0,1131.1
2007,2060,Marko Jaric,33,160.4,305.9,5293.5
2007,708,Kevin Garnett,33,160.4,305.9,5293.5
2007,1853,Anthony Carter,1,149.7,149.7,149.7
2007,2239,Trenton Hassell,32,125.0,210.7,4000.9
2007,2648,Ronald Dupree,9,104.6,152.0,941.8
2007,200768,Kyle Lowry,5,94.1,0.0,470.7
2007,200760,Rodney Carney,35,90.5,110.9,3166.0
2007,2037,Jamal Crawford,23,88.5,-1.6,2035.0
2007,101185,Rawle Marshall,17,84.7,0.0,1440.6
2007,200772,Maurice Ager,12,82.2,200.5,986.2
2007,200807,Will Blalock,6,75.1,145.5,450.7
2007,200781,Paul Davis,9,71.4,0.0,642.6
2007,200767,Josh Boone,28,64.2,73.8,1796.5
2007,1737,Nazr Mohammed,22,55.7,52.1,1225.3
2007,200784,Bobby Jones,17,53.6,110.9,911.2
2007,2067,Eddie House,24,50.5,144.3,1211.9
2007,101135,David Lee,22,47.2,-0.8,1037.5
2007,2366,Mike Wilks,19,45.2,-26.2,859.1
2007,1921,Gordan Giricek,37,44.4,0.0,1641.3
2007,361,Clifford Robinson,24,43.3,139.0,1038.5
2007,101150,Lou Williams,22,31.1,6.1,683.9
2007,2223,Samuel Dalembert,39,29.7,12.2,1157.9
2007,200758,Ronnie Brewer,23,21.7,0.0,499.5
2007,2430,Carlos Boozer,43,17.4,0.1,748.7
2007,101114,Deron Williams,44,17.0,0.1,748.7
2007,101119,Rashad McCants,16,5.3,212.2,85.2
2007,200766,Marcus Williams,34,-0.0,73.8,-0.3
2007,1713,Vince Carter,37,-2.9,8.7,-108.2
2007,1630,Mikki Moore,37,-2.9,8.7,-108.2
2007,2411,Bostjan Nachbar,36,-3.0,73.8,-108.2
2007,101187,Alan Anderson,8,-4.4,123.5,-35.5
2007,200810,Allan Ray,19,-6.6,0.0,-124.9
2007,2210,Richard Jefferson,25,-6.8,0.0,-171.1
2007,2215,Jason Collins,36,-6.9,4.3,-247.2
2007,2738,Andre Iguodala,37,-8.4,12.2,-309.5
2007,1905,Andrei Kirilenko,40,-14.7,0.1,-586.9
2007,200794,Paul Millsap,45,-19.5,0.0,-876.0
2007,965,Derek Fisher,45,-19.5,0.0,-876.0
2007,2260,Jarron Collins,44,-21.2,0.0,-931.2
2007,1563,Kevin Ollie,29,-27.5,12.2,-796.5
2007,2212,Steven Hunter,33,-30.8,0.0,-1017.0
2007,1723,Matt Harpring,42,-31.3,0.0,-1314.4
2007,1727,Pat Garrity,14,-36.5,59.8,-511.0
2007,467,Jason Kidd,36,-43.8,4.3,-1575.7
2007,2758,David Harrison,11,-47.9,139.0,-526.5
2007,200822,Pops Mensah-Bonsu,8,-49.6,217.7,-396.6
2007,2594,Kyle Korver,36,-63.7,6.1,-2293.1
2007,2737,Rafael Araujo,12,-65.1,17.1,-781.5
2007,101179,Ronnie Price,22,-65.6,149.7,-1442.6
2007,979,Jermaine O'Neal,31,-66.0,0.0,-2044.6
2007,2048,Jamaal Magloire,37,-67.8,0.0,-2507.8
2007,101127,Jarrett Jack,37,-67.8,0.0,-2507.8
2007,101110,Martell Webster,37,-67.8,0.0,-2507.8
2007,1709,Michael Olowokandi,13,-72.6,78.4,-944.3
2007,101158,Orien Greene,16,-74.7,0.0,-1195.0
2007,2246,Mehmet Okur,44,-74.8,0.0,-3290.9
2007,2038,Joel Przybilla,20,-84.5,0.0,-1689.2
2007,2056,Primoz Brezec,26,-99.0,0.1,-2575.2
2007,1607,Troy Hudson,16,-99.0,210.7,-1584.5
2007,2137,Ime Udoka,35,-100.2,0.0,-3508.6
2007,788,Kevin Willis,3,-102.0,197.9,-306.1
2007,2584,Willie Green,35,-103.1,0.0,-3610.2
2007,693,Joe Smith,26,-104.9,0.0,-2726.6
2007,2570,Kendrick Perkins,33,-112.3,0.0,-3704.7
2007,1533,Anthony Johnson,24,-114.8,-107.6,-2754.7
2007,200829,Ivan McFarlin,5,-116.1,-252.2,-580.6
