arenaName,teamId,teamCity,teamName,games,mean_delta
American Airlines Center,1610612741,Chicago,Bulls,1,967.3
American Airlines Center,1610612747,Los Angeles,Lakers,2,580.3
American Airlines Center,1610612755,Philadelphia,76ers,1,557.3
American Airlines Center,1610612737,Atlanta,Hawks,1,531.7
American Airlines Center,1610612759,San Antonio,Spurs,2,491.2
American Airlines Center,1610612765,Detroit,Pistons,1,319.5
American Airlines Center,1610612739,Cleveland,Cavaliers,1,229.3
American Airlines Center,1610612748,Miami,Heat,1,226.2
American Airlines Center,1610612745,Houston,Rockets,2,223.6
American Airlines Center,1610612756,Phoenix,Suns,1,218.0
American Airlines Center,1610612763,Memphis,Grizzlies,2,108.3
American Airlines Center,1610612753,Orlando,Magic,1,71.4
American Airlines Center,1610612750,Minnesota,Timberwolves,2,63.7
American Airlines Center,1610612762,Utah,Jazz,2,34.5
American Airlines Center,1610612761,Toronto,Raptors,1,-57.7
American Airlines Center,1610612764,Washington,Wizards,1,-64.9
American Airlines Center,1610612743,Denver,Nuggets,2,-131.5
American Airlines Center,1610612754,Indiana,Pacers,1,-151.0
American Airlines Center,1610612738,Boston,Celtics,1,-160.2
American Airlines Center,1610612749,Milwaukee,Bucks,1,-160.2
American Airlines Center,1610612744,Golden State,Warriors,2,-165.9
American Airlines Center,1610612760,Oklahoma City,Thunder,2,-191.5
American Airlines Center,1610612766,Charlotte,Hornets,1,-270.9
American Airlines Center,1610612758,Sacramento,Kings,1,-282.2
American Airlines Center,1610612746,LA,Clippers,2,-301.2
American Airlines Center,1610612751,Brooklyn,Nets,2,-467.7
American Airlines Center,1610612757,Portland,Trail Blazers,1,-492.3
American Airlines Center,1610612740,New Orleans,Pelicans,2,-587.1
American Airlines Center,1610612752,New York,Knicks,1,-794.7
Ball Arena,1610612756,Phoenix,Suns,1,203.9
Ball Arena,1610612746,LA,Clippers,1,194.7
Ball Arena,1610612759,San Antonio,Spurs,2,165.5
Ball Arena,1610612766,Charlotte,Hornets,1,148.6
Ball Arena,1610612764,Washington,Wizards,1,145.5
Ball Arena,1610612747,Los Angeles,Lakers,2,137.8
Ball Arena,1610612760,Oklahoma City,Thunder,2,134.2
Ball Arena,1610612754,Indiana,Pacers,1,131.2
Ball Arena,1610612741,Chicago,Bulls,1,128.1
Ball Arena,1610612761,Toronto,Raptors,1,100.4
Ball Arena,1610612755,Philadelphia,76ers,1,93.2
Ball Arena,1610612750,Minnesota,Timberwolves,5,59.2
Ball Arena,1610612748,Miami,Heat,1,36.8
Ball Arena,1610612763,Memphis,Grizzlies,2,-8.2
Ball Arena,1610612752,New York,Knicks,1,-19.5
Ball Arena,1610612744,Golden State,Warriors,2,-48.7
Ball Arena,1610612758,Sacramento,Kings,2,-54.4
Ball Arena,1610612757,Portland,Trail Blazers,2,-58.0
Ball Arena,1610612762,Utah,Jazz,2,-60.5
Ball Arena,1610612738,Boston,Celtics,1,-64.6
Ball Arena,1610612765,Detroit,Pistons,1,-94.3
Ball Arena,1610612753,Orlando,Magic,1,-97.4
Ball Arena,1610612745,Houston,Rockets,3,-111.1
Ball Arena,1610612742,Dallas,Mavericks,2,-116.9
Ball Arena,1610612737,Atlanta,Hawks,1,-180.5
Ball Arena,1610612739,Cleveland,Cavaliers,1,-183.5
Ball Arena,1610612749,Milwaukee,Bucks,1,-185.6
Ball Arena,1610612751,Brooklyn,Nets,1,-201.0
Ball Arena,1610612740,New Orleans,Pelicans,1,-300.4
Barclays Center,1610612747,Los Angeles,Lakers,1,856.8
Barclays Center,1610612744,Golden State,Warriors,1,769.7
Barclays Center,1610612752,New York,Knicks,2,621.1
Barclays Center,1610612745,Houston,Rockets,1,605.7
Barclays Center,1610612738,Boston,Celtics,2,523.2
Barclays Center,1610612755,Philadelphia,76ers,2,273.1
Barclays Center,1610612739,Cleveland,Cavaliers,2,270.5
Barclays Center,1610612737,Atlanta,Hawks,2,139.3
Barclays Center,1610612743,Denver,Nuggets,1,139.3
Barclays Center,1610612746,LA,Clippers,1,139.3
Barclays Center,1610612748,Miami,Heat,1,139.3
Barclays Center,1610612758,Sacramento,Kings,1,139.3
Barclays Center,1610612759,San Antonio,Spurs,1,139.3
Barclays Center,1610612760,Oklahoma City,Thunder,1,139.3
Barclays Center,1610612765,Detroit,Pistons,2,139.3
Barclays Center,1610612764,Washington,Wizards,2,-9.8
Barclays Center,1610612761,Toronto,Raptors,2,-22.1
Barclays Center,1610612756,Phoenix,Suns,1,-69.8
Barclays Center,1610612741,Chicago,Bulls,2,-122.1
Barclays Center,1610612750,Minnesota,Timberwolves,1,-128.2
Barclays Center,1610612766,Charlotte,Hornets,2,-181.5
Barclays Center,1610612754,Indiana,Pacers,2,-254.8
Barclays Center,1610612740,New Orleans,Pelicans,1,-366.0
Barclays Center,1610612757,Portland,Trail Blazers,1,-391.7
Barclays Center,1610612753,Orlando,Magic,1,-508.5
Barclays Center,1610612749,Milwaukee,Bucks,2,-795.0
Barclays Center,1610612763,Memphis,Grizzlies,1,-890.8
Barclays Center,1610612742,Dallas,Mavericks,1,-924.7
Barclays Center,1610612762,Utah,Jazz,1,-950.3
Capital One Arena,1610612747,Los Angeles,Lakers,1,4019.3
Capital One Arena,1610612759,San Antonio,Spurs,1,4019.3
Capital One Arena,1610612760,Oklahoma City,Thunder,1,4019.3
Capital One Arena,1610612752,New York,Knicks,1,1758.1
Capital One Arena,1610612762,Utah,Jazz,1,1621.8
Capital One Arena,1610612745,Houston,Rockets,1,1276.4
Capital One Arena,1610612756,Phoenix,Suns,1,897.1
Capital One Arena,1610612755,Philadelphia,76ers,2,651.7
Capital One Arena,1610612750,Minnesota,Timberwolves,1,636.8
Capital One Arena,1610612763,Memphis,Grizzlies,1,588.6
Capital One Arena,1610612746,LA,Clippers,1,536.4
Capital One Arena,1610612740,New Orleans,Pelicans,1,467.7
Capital One Arena,1610612761,Toronto,Raptors,2,405.2
Capital One Arena,1610612766,Charlotte,Hornets,2,275.0
Capital One Arena,1610612742,Dallas,Mavericks,1,155.0
Capital One Arena,1610612738,Boston,Celtics,1,-82.8
Capital One Arena,1610612748,Miami,Heat,2,-108.4
Capital One Arena,1610612765,Detroit,Pistons,2,-177.1
Capital One Arena,1610612744,Golden State,Warriors,1,-189.4
Capital One Arena,1610612737,Atlanta,Hawks,2,-561.4
Capital One Arena,1610612751,Brooklyn,Nets,2,-801.3
Capital One Arena,1610612741,Chicago,Bulls,2,-862.3
Capital One Arena,1610612754,Indiana,Pacers,2,-904.8
Capital One Arena,1610612743,Denver,Nuggets,1,-1093.4
Capital One Arena,1610612749,Milwaukee,Bucks,2,-1163.1
Capital One Arena,1610612739,Cleveland,Cavaliers,2,-1380.9
Capital One Arena,1610612753,Orlando,Magic,2,-1992.3
Capital One Arena,1610612757,Portland,Trail Blazers,1,-2311.1
Capital One Arena,1610612758,Sacramento,Kings,1,-3079.9
Chase Center,1610612737,Atlanta,Hawks,1,0.0
Chase Center,1610612738,Boston,Celtics,1,0.0
Chase Center,1610612739,Cleveland,Cavaliers,1,0.0
Chase Center,1610612740,New Orleans,Pelicans,1,0.0
Chase Center,1610612741,Chicago,Bulls,1,0.0
Chase Center,1610612742,Dallas,Mavericks,1,0.0
Chase Center,1610612743,Denver,Nuggets,2,0.0
Chase Center,1610612745,Houston,Rockets,2,0.0
Chase Center,1610612746,LA,Clippers,2,0.0
Chase Center,1610612747,Los Angeles,Lakers,2,0.0
Chase Center,1610612748,Miami,Heat,1,0.0
Chase Center,1610612749,Milwaukee,Bucks,1,0.0
Chase Center,1610612750,Minnesota,Timberwolves,2,0.0
Chase Center,1610612751,Brooklyn,Nets,1,0.0
Chase Center,1610612752,New York,Knicks,1,0.0
Chase Center,1610612753,Orlando,Magic,1,0.0
Chase Center,1610612754,Indiana,Pacers,1,0.0
Chase Center,1610612755,Philadelphia,76ers,1,0.0
Chase Center,1610612756,Phoenix,Suns,2,0.0
Chase Center,1610612757,Portland,Trail Blazers,2,0.0
Chase Center,1610612758,Sacramento,Kings,2,0.0
Chase Center,1610612759,San Antonio,Spurs,2,0.0
Chase Center,1610612760,Oklahoma City,Thunder,2,0.0
Chase Center,1610612761,Toronto,Raptors,1,0.0
Chase Center,1610612762,Utah,Jazz,2,0.0
Chase Center,1610612763,Memphis,Grizzlies,2,0.0
Chase Center,1610612764,Washington,Wizards,1,0.0
Chase Center,1610612765,Detroit,Pistons,1,0.0
Chase Center,1610612766,Charlotte,Hornets,1,0.0
Crypto.com Arena,1610612738,Boston,Celtics,1,145.8
Crypto.com Arena,1610612739,Cleveland,Cavaliers,1,145.8
Crypto.com Arena,1610612743,Denver,Nuggets,1,145.8
Crypto.com Arena,1610612744,Golden State,Warriors,2,145.8
Crypto.com Arena,1610612746,LA,Clippers,2,145.8
Crypto.com Arena,1610612749,Milwaukee,Bucks,1,145.8
