season,building,teamId,teamCity,teamName,games,mean_delta
1980,Arizona Veterans Memorial Coliseum,1610612737,Atlanta,Hawks,1,951.6
1980,Arizona Veterans Memorial Coliseum,1610612755,Philadelphia,76ers,1,951.6
1980,Arizona Veterans Memorial Coliseum,1610612764,Washington,Bullets,1,951.6
1980,Arizona Veterans Memorial Coliseum,1610612751,New Jersey,Nets,1,752.3
1980,Arizona Veterans Memorial Coliseum,1610612747,Los Angeles,Lakers,5,751.5
1980,Arizona Veterans Memorial Coliseum,1610612757,Portland,Trail Blazers,2,337.4
1980,Arizona Veterans Memorial Coliseum,1610612760,Seattle,SuperSonics,3,127.5
1980,Arizona Veterans Memorial Coliseum,1610612765,Detroit,Pistons,1,113.5
1980,Arizona Veterans Memorial Coliseum,1610612745,Houston,Rockets,1,110.4
1980,Arizona Veterans Memorial Coliseum,1610612758,Kansas City,Kings,5,-83.3
1980,Arizona Veterans Memorial Coliseum,1610612746,San Diego,Clippers,3,-217.9
1980,Arizona Veterans Memorial Coliseum,1610612752,New York,Knicks,1,-235.7
1980,Arizona Veterans Memorial Coliseum,1610612759,San Antonio,Spurs,1,-251.1
1980,Arizona Veterans Memorial Coliseum,1610612749,Milwaukee,Bucks,4,-286.3
1980,Arizona Veterans Memorial Coliseum,1610612743,Denver,Nuggets,2,-330.7
1980,Arizona Veterans Memorial Coliseum,1610612741,Chicago,Bulls,3,-442.1
1980,Arizona Veterans Memorial Coliseum,1610612744,Golden State,Warriors,3,-445.2
1980,Arizona Veterans Memorial Coliseum,1610612762,Utah,Jazz,3,-592.1
1980,Arizona Veterans Memorial Coliseum,1610612739,Cleveland,Cavaliers,1,-844.7
1980,Boston Garden,1610612754,Indiana,Pacers,3,986.8
1980,Boston Garden,1610612749,Milwaukee,Bucks,1,882.6
1980,Boston Garden,1610612752,New York,Knicks,3,882.6
1980,Boston Garden,1610612756,Phoenix,Suns,1,882.6
1980,Boston Garden,1610612757,Portland,Trail Blazers,1,882.6
1980,Boston Garden,1610612758,Kansas City,Kings,1,882.6
1980,Boston Garden,1610612759,San Antonio,Spurs,2,882.6
1980,Boston Garden,1610612762,Utah,Jazz,1,882.6
1980,Boston Garden,1610612764,Washington,Bullets,3,882.6
1980,Boston Garden,1610612755,Philadelphia,76ers,4,220.7
1980,Boston Garden,1610612745,Houston,Rockets,5,163.2
