season,teamId,teamCity,teamName,games,mean_delta,median_delta,total_delta
2007,1610612747,Los Angeles,Lakers,37,1289.4,1408.9,47706.8
2007,1610612748,Miami,Heat,41,1223.8,959.6,50175.0
2007,1610612739,Cleveland,Cavaliers,46,1067.8,650.6,49117.9
2007,1610612756,Phoenix,Suns,40,808.3,249.5,32330.3
2007,1610612745,Houston,Rockets,40,475.2,134.4,19008.0
2007,1610612743,Denver,Nuggets,39,455.3,139.0,17756.6
2007,1610612741,Chicago,Bulls,44,441.2,144.3,19413.8
2007,1610612752,New York,Knicks,34,408.1,134.6,13876.3
2007,1610612765,Detroit,Pistons,43,332.4,73.3,14291.2
2007,1610612742,Dallas,Mavericks,38,261.3,240.2,9928.9
2007,1610612750,Minnesota,Timberwolves,36,171.5,294.2,6175.3
2007,1610612755,Philadelphia,76ers,39,29.7,12.2,1157.9
2007,1610612751,New Jersey,Nets,37,-2.9,8.7,-108.2
2007,1610612762,Utah,Jazz,45,-19.5,0.0,-876.0
2007,1610612757,Portland,Trail Blazers,37,-67.8,0.0,-2507.8
2007,1610612754,Indiana,Pacers,36,-134.3,0.0,-4836.3
2007,1610612738,Boston,Celtics,38,-176.7,0.0,-6714.3
2007,1610612759,San Antonio,Spurs,39,-294.6,-22.2,-11491.0
2007,1610612758,Sacramento,Kings,34,-347.1,139.0,-11799.9
2007,1610612746,Los Angeles,Clippers,35,-459.1,-53.1,-16068.8
2007,1610612766,Charlotte,Bobcats,37,-489.1,0.0,-18095.0
2007,1610612760,Seattle,SuperSonics,35,-506.6,-70.2,-17730.8
2007,1610612763,Memphis,Grizzlies,36,-544.1,-45.4,-19588.7
2007,1610612753,Orlando,Magic,36,-546.9,-107.6,-19689.9
2007,1610612761,Toronto,Raptors,40,-547.2,-351.8,-21886.1
2007,1610612764,Washington,Wizards,38,-552.4,-87.4,-20989.6
2007,1610612749,Milwaukee,Bucks,38,-587.3,-477.6,-22316.4
2007,1610612744,Golden State,Warriors,41,-615.7,-107.6,-25244.9
2007,1610612737,Atlanta,Hawks,38,-796.8,-308.3,-30279.9
2007,1610612740,Oklahoma City,Hornets,33,-930.7,-326.2,-30714.3
2008,1610612738,Boston,Celtics,44,1344.9,568.1,59174.3
2008,1610612747,Los Angeles,Lakers,46,1145.0,336.1,52669.1
2008,1610612756,Phoenix,Suns,42,874.3,250.5,36721.4
2008,1610612759,San Antonio,Spurs,45,752.0,334.2,33840.5
2008,1610612742,Dallas,Mavericks,39,557.0,106.4,21724.0
2008,1610612743,Denver,Nuggets,40,540.7,240.3,21629.5
2008,1610612739,Cleveland,Cavaliers,44,496.6,1.8,21850.7
2008,1610612765,Detroit,Pistons,45,349.1,151.2,15708.1
2008,1610612751,New Jersey,Nets,36,266.9,42.4,9609.2
2008,1610612741,Chicago,Bulls,37,219.1,106.4,8105.9
2008,1610612762,Utah,Jazz,39,163.4,0.0,6374.4
2008,1610612745,Houston,Rockets,41,130.8,33.7,5361.6
2008,1610612744,Golden State,Warriors,40,35.3,26.9,1410.3
2008,1610612748,Miami,Heat,37,31.0,3.7,1146.7
2008,1610612752,New York,Knicks,38,-2.6,0.0,-98.2
2008,1610612753,Orlando,Magic,43,-61.4,0.0,-2638.3
2008,1610612760,Seattle,SuperSonics,34,-240.7,-17.9,-8183.8
2008,1610612758,Sacramento,Kings,37,-379.2,0.0,-14030.1
2008,1610612764,Washington,Wizards,35,-444.0,-63.8,-15540.1
2008,1610612757,Portland,Trail Blazers,36,-444.9,1.8,-16017.9
2008,1610612766,Charlotte,Bobcats,40,-468.8,0.0,-18753.1
2008,1610612755,Philadelphia,76ers,39,-510.6,0.0,-19915.0
2008,1610612740,New Orleans,Hornets,41,-512.7,0.0,-21019.1
2008,1610612746,Los Angeles,Clippers,40,-526.1,-36.5,-21044.6
2008,1610612750,Minnesota,Timberwolves,39,-598.8,0.0,-23354.2
2008,1610612754,Indiana,Pacers,35,-600.0,0.0,-21000.0
2008,1610612737,Atlanta,Hawks,41,-618.1,0.0,-25340.7
2008,1610612763,Memphis,Grizzlies,34,-693.3,-206.6,-23571.0
2008,1610612761,Toronto,Raptors,40,-716.2,-17.9,-28647.2
2008,1610612749,Milwaukee,Bucks,37,-977.6,-440.3,-36172.6
2009,1610612747,Los Angeles,Lakers,41,1665.9,1007.4,68300.0
2009,1610612739,Cleveland,Cavaliers,45,1369.5,956.1,61625.4
2009,1610612738,Boston,Celtics,43,1258.0,845.3,54095.4
2009,1610612756,Phoenix,Suns,36,708.4,584.8,25501.6
2009,1610612765,Detroit,Pistons,41,564.8,400.7,23157.1
2009,1610612748,Miami,Heat,44,554.8,43.7,24410.4
2009,1610612753,Orlando,Magic,40,416.2,95.6,16646.5
2009,1610612752,New York,Knicks,35,299.1,43.7,10469.6
2009,1610612741,Chicago,Bulls,35,265.9,220.1,9305.0
2009,1610612759,San Antonio,Spurs,40,235.2,252.2,9406.7
2009,1610612740,New Orleans,Hornets,38,208.6,214.1,7928.5
2009,1610612745,Houston,Rockets,46,38.1,26.8,1750.6
2009,1610612751,New Jersey,Nets,35,-68.3,122.2,-2389.4
2009,1610612758,Sacramento,Kings,35,-120.3,0.0,-4209.0
2009,1610612742,Dallas,Mavericks,43,-126.9,0.0,-5455.2
2009,1610612762,Utah,Jazz,36,-198.2,56.7,-7135.3
2009,1610612737,Atlanta,Hawks,42,-201.8,0.0,-8476.2
2009,1610612743,Denver,Nuggets,44,-284.9,0.0,-12535.2
2009,1610612746,Los Angeles,Clippers,37,-289.2,-239.1,-10699.4
2009,1610612766,Charlotte,Bobcats,35,-415.6,-198.5,-14547.1
2009,1610612757,Portland,Trail Blazers,40,-439.1,-80.2,-17563.1
2009,1610612755,Philadelphia,76ers,40,-445.0,0.0,-17799.0
2009,1610612764,Washington,Wizards,40,-533.7,-6.6,-21346.8
2009,1610612744,Golden State,Warriors,35,-601.3,-172.6,-21044.2
2009,1610612754,Indiana,Pacers,35,-646.7,-30.9,-22634.1
2009,1610612763,Memphis,Grizzlies,37,-743.5,-134.4,-27509.7
2009,1610612750,Minnesota,Timberwolves,36,-767.9,-188.5,-27643.1
2009,1610612749,Milwaukee,Bucks,39,-795.1,-443.2,-31010.8
2009,1610612761,Toronto,Raptors,34,-841.4,-539.6,-28608.5
2009,1610612760,Oklahoma City,Thunder,37,-864.6,-657.4,-31990.7
2010,1610612739,Cleveland,Cavaliers,41,2163.9,1919.2,88718.9
2010,1610612747,Los Angeles,Lakers,48,1696.3,721.7,81423.8
2010,1610612748,Miami,Heat,41,1006.3,489.0,41259.6
2010,1610612741,Chicago,Bulls,40,713.8,270.2,28553.2
2010,1610612753,Orlando,Magic,39,627.7,271.5,24481.9
2010,1610612738,Boston,Celtics,44,484.6,74.7,21323.0
2010,1610612759,San Antonio,Spurs,42,455.0,256.0,19110.6
2010,1610612743,Denver,Nuggets,39,426.6,270.2,16636.2
2010,1610612756,Phoenix,Suns,42,222.8,246.0,9359.3
2010,1610612752,New York,Knicks,38,214.3,162.8,8143.3
2010,1610612742,Dallas,Mavericks,39,125.8,92.5,4905.3
2010,1610612765,Detroit,Pistons,37,116.0,0.0,4292.3
2010,1610612740,New Orleans,Hornets,39,-39.2,0.0,-1530.0
2010,1610612762,Utah,Jazz,45,-113.6,0.0,-5113.4
2010,1610612737,Atlanta,Hawks,41,-182.7,0.0,-7491.7
2010,1610612760,Oklahoma City,Thunder,42,-363.0,0.0,-15244.1
2010,1610612755,Philadelphia,76ers,39,-365.1,0.0,-14240.2
2010,1610612766,Charlotte,Bobcats,37,-392.7,0.0,-14528.5
2010,1610612754,Indiana,Pacers,38,-402.8,-38.9,-15305.0
2010,1610612757,Portland,Trail Blazers,39,-450.3,0.0,-17560.5
2010,1610612749,Milwaukee,Bucks,35,-485.2,-196.8,-16981.9
2010,1610612758,Sacramento,Kings,34,-517.0,-80.2,-17579.5
2010,1610612745,Houston,Rockets,39,-544.3,0.0,-21226.5
2010,1610612764,Washington,Wizards,34,-592.3,-85.0,-20138.9
2010,1610612761,Toronto,Raptors,38,-659.8,-367.8,-25073.9
2010,1610612763,Memphis,Grizzlies,36,-695.2,-520.8,-25026.3
2010,1610612751,New Jersey,Nets,40,-735.0,-148.2,-29400.8
2010,1610612744,Golden State,Warriors,38,-788.9,-408.8,-29976.3
2010,1610612746,Los Angeles,Clippers,36,-921.3,-327.7,-33165.2
2010,1610612750,Minnesota,Timberwolves,36,-1072.9,-674.9,-38624.5
2011,1610612748,Miami,Heat,48,1686.0,1259.5,80929.9
2011,1610612747,Los Angeles,Lakers,41,1647.9,992.5,67564.3
2011,1610612738,Boston,Celtics,42,1637.3,983.8,68766.1
2011,1610612741,Chicago,Bulls,47,1196.3,453.7,56226.1
2011,1610612752,New York,Knicks,38,939.5,219.8,35700.3
2011,1610612760,Oklahoma City,Thunder,46,545.5,258.6,25094.4
2011,1610612746,Los Angeles,Clippers,38,432.4,191.4,16429.3
2011,1610612753,Orlando,Magic,42,230.2,14.1,9669.6
2011,1610612762,Utah,Jazz,36,104.3,28.9,3755.2
2011,1610612759,San Antonio,Spurs,41,54.2,0.0,2222.9
2011,1610612756,Phoenix,Suns,41,-3.9,83.3,-161.7
2011,1610612758,Sacramento,Kings,38,-42.9,221.2,-1628.8
2011,1610612764,Washington,Wizards,36,-179.3,19.0,-6453.4
2011,1610612743,Denver,Nuggets,41,-198.8,0.0,-8151.6
2011,1610612737,Atlanta,Hawks,43,-275.3,37.9,-11839.6
2011,1610612740,New Orleans,Hornets,41,-297.5,-63.4,-12197.7
2011,1610612744,Golden State,Warriors,38,-342.8,19.0,-13027.6
2011,1610612755,Philadelphia,76ers,41,-345.6,0.0,-14168.2
2011,1610612745,Houston,Rockets,37,-347.7,-168.4,-12864.0
2011,1610612742,Dallas,Mavericks,43,-359.1,0.0,-15442.9
2011,1610612751,New Jersey,Nets,36,-398.1,-130.9,-14331.4
2011,1610612761,Toronto,Raptors,37,-522.2,0.0,-19321.8
2011,1610612765,Detroit,Pistons,36,-529.6,-155.3,-19065.8
2011,1610612754,Indiana,Pacers,43,-545.2,-186.0,-23443.0
2011,1610612749,Milwaukee,Bucks,37,-620.5,-369.2,-22958.8
2011,1610612766,Charlotte,Bobcats,39,-743.3,-282.2,-28987.6
2011,1610612763,Memphis,Grizzlies,46,-848.0,-54.5,-39006.7
2011,1610612757,Portland,Trail Blazers,38,-893.6,-416.0,-33956.9
2011,1610612750,Minnesota,Timberwolves,35,-921.3,-526.6,-32245.8
2011,1610612739,Cleveland,Cavaliers,38,-976.4,-481.1,-37105.0
2012,1610612748,Miami,Heat,37,1617.5,674.5,59846.4
2012,1610612752,New York,Knicks,30,1366.2,693.2,40985.3
2012,1610612747,Los Angeles,Lakers,34,1314.3,644.7,44686.4
2012,1610612741,Chicago,Bulls,32,1093.9,631.8,35003.5
2012,1610612746,Los Angeles,Clippers,38,860.7,129.3,32708.1
2012,1610612738,Boston,Celtics,40,792.5,237.9,31699.4
2012,1610612760,Oklahoma City,Thunder,35,725.4,118.8,25387.8
2012,1610612753,Orlando,Magic,31,241.6,0.0,7488.3
2012,1610612756,Phoenix,Suns,28,20.4,16.5,572.1
2012,1610612742,Dallas,Mavericks,32,-11.7,0.0,-376.0
2012,1610612759,San Antonio,Spurs,36,-22.4,0.0,-805.9
2012,1610612737,Atlanta,Hawks,35,-94.1,-53.8,-3293.0
2012,1610612745,Houston,Rockets,31,-108.9,-4.4,-3376.9
2012,1610612755,Philadelphia,76ers,37,-154.8,0.0,-5726.5
2012,1610612757,Portland,Trail Blazers,32,-273.1,-23.6,-8740.3
2012,1610612743,Denver,Nuggets,33,-313.8,-46.9,-10356.3
2012,1610612763,Memphis,Grizzlies,34,-345.8,11.6,-11757.7
2012,1610612739,Cleveland,Cavaliers,30,-353.3,-82.6,-10600.3
2012,1610612751,New Jersey,Nets,28,-358.9,-37.6,-10049.5
2012,1610612762,Utah,Jazz,29,-453.2,-111.4,-13143.4
2012,1610612761,Toronto,Raptors,32,-548.3,-135.0,-17545.4
2012,1610612765,Detroit,Pistons,29,-555.1,-47.3,-16096.9
2012,1610612744,Golden State,Warriors,31,-570.7,-394.6,-17691.6
2012,1610612764,Washington,Wizards,31,-580.7,-53.8,-18002.0
2012,1610612766,Charlotte,Bobcats,31,-622.8,-173.9,-19305.6
2012,1610612740,New Orleans,Hornets,27,-638.9,-111.4,-17250.4
2012,1610612754,Indiana,Pacers,34,-652.9,-75.5,-22199.8
2012,1610612750,Minnesota,Timberwolves,27,-747.9,-474.8,-20193.7
2012,1610612749,Milwaukee,Bucks,29,-817.6,-348.1,-23711.4
2012,1610612758,Sacramento,Kings,31,-908.2,-126.5,-28154.9
2013,1610612749,Milwaukee,Bucks,2,160.5,160.5,320.9
2013,1610612748,Miami,Heat,10,87.9,0.0,878.8
2013,1610612763,Memphis,Grizzlies,7,49.6,0.0,347.3
2013,1610612754,Indiana,Pacers,10,2.8,0.0,27.6
2013,1610612737,Atlanta,Hawks,3,0.0,0.0,0.0
2013,1610612738,Boston,Celtics,2,0.0,0.0,0.0
2013,1610612743,Denver,Nuggets,2,0.0,0.0,0.0
2013,1610612744,Golden State,Warriors,6,0.0,0.0,0.0
2013,1610612745,Houston,Rockets,3,0.0,0.0,0.0
2013,1610612746,Los Angeles,Clippers,3,0.0,0.0,0.0
2013,1610612747,Los Angeles,Lakers,2,0.0,0.0,0.0
2013,1610612752,New York,Knicks,6,0.0,0.0,0.0
2013,1610612760,Oklahoma City,Thunder,5,0.0,0.0,0.0
2013,1610612741,Chicago,Bulls,6,-33.1,0.0,-198.4
2013,1610612759,San Antonio,Spurs,9,-55.3,-3.7,-497.4
2013,1610612751,Brooklyn,Nets,3,-292.9,-278.8,-878.8
2014,1610612748,Miami,Heat,46,1763.1,694.4,81101.2
